,Country,Lat,Long,Confirmed
316,US,38.7646,-121.9018,0
317,US,37.3541,-121.9552,0
318,US,36.0796,-115.094,0
319,US,29.5693,-95.8143,0
320,US,47.1981,-119.3732,0
321,US,30.769000000000002,-86.9824,0
322,US,35.9179,-86.8622,0
323,US,40.7128,-74.006,0
324,US,39.1547,-77.2405,0
325,US,42.3601,-71.0589,0
326,US,39.7392,-104.9903,0
327,US,39.5912,-106.064,0
328,US,40.9263,-74.077,0
329,US,29.7752,-95.3103,0
330,US,37.7749,-122.4194,0
331,US,37.8534,-121.9018,0
332,US,33.7879,-117.8531,0
333,US,42.1767,-71.1449,0
334,US,33.2918,-112.4291,0
335,US,35.8032,-78.5661,0
336,US,41.122,-73.7949,0
337,US,43.9088,-71.82600000000001,0
338,US,27.9904,-82.3018,0
339,US,39.0916,-120.8039,0
340,US,37.563,-122.3255,0
341,US,38.578,-122.9888,0
342,US,45.775,-118.7606,0
343,US,33.8034,-84.3963,0
344,US,45.547,-123.1386,0
345,US,48.033,-121.8339,0
346,US,40.745,-123.8695,0
347,US,38.4747,-121.3542,0
348,US,32.7157,-117.1611,0
349,US,36.5761,-120.9876,0
350,US,34.0522,-118.2437,0
351,US,47.6062,-122.3321,0
352,US,41.7377,-87.6976,0
353,US,48.4242,-121.7114,0
354,US,46.8646,-122.7696,0
355,US,48.1976,-122.5795,0
356,US,48.8787,-121.9719,0
357,US,38.0834,-122.7633,0
358,US,38.196,-120.6805,0
359,US,37.5091,-120.9876,0
360,US,36.6066,-120.189,0
361,US,42.632,-70.7829,0
362,US,30.7917,-82.0843,0
363,US,26.07,-81.4279,0
364,US,27.8764,-82.7779,0
365,US,29.7938,-82.4944,0
366,US,30.5927,-81.8224,0
367,US,28.3232,-82.4319,0
368,US,32.7767,-96.79700000000001,0
369,US,32.7732,-97.3517,0
370,US,30.3883,-95.6963,0
371,US,40.5726,-74.4927,0
372,US,39.58,-105.2663,0
373,US,45.5146,-122.5863,0
374,US,44.9267,-123.4919,0
375,US,43.8325,-121.2617,0
376,US,42.3334,-88.2668,0
377,US,42.3689,-87.8272,0
378,US,40.4108,-75.2479,0
379,US,37.7772,-77.5161,0
380,US,34.7253,-80.6771,0
381,US,36.4933,-82.3452,0
382,US,39.4638,-86.1345,0
383,US,40.4483,-86.1345,0
384,US,41.6228,-86.3377,0
385,US,42.6712,-97.8722,0
386,US,40.8685,-81.2519,0
387,US,45.3293,-93.2197,0
388,US,43.9952,-92.3814,0
389,US,40.8298,-110.9984,0
390,US,41.256,-73.3709,0
391,US,41.7866,-73.2765,0
392,US,29.9511,-90.0715,0
393,US,43.8901,-102.2548,0
394,US,44.4797,-98.2213,0
395,US,43.0985,-98.3965,0
396,US,43.7242,-98.2213,0
397,US,43.6632,-96.8351,0
398,US,42.9815,-97.8722,0
399,US,33.8837,-106.7235,0
400,US,35.0178,-106.6291,0
401,US,42.5922,-83.3362,0
402,US,42.2791,-83.3362,0
403,US,39.5393,-75.6674,0
404,Cuba,22.0,-80.0,3
405,Guyana,5.0,-58.75,1
